epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,578.54,0.50297,0.32546,0.82778,0.99081,0.98718,0.99196,0.88833,0.43122,0.27388,0.80514,0.000955072,0.000955072,0.000955072
43,592.101,0.49306,0.32002,0.82324,0.9885,0.98798,0.99365,0.88789,0.44331,0.26879,0.80453,0.000952889,0.000952889,0.000952889
44,605.641,0.4943,0.31821,0.8266,0.9869,0.98946,0.9914,0.87673,0.45833,0.27052,0.80752,0.000950658,0.000950658,0.000950658
45,619.355,0.49686,0.31975,0.82359,0.9903,0.98657,0.99158,0.89455,0.41178,0.26389,0.80599,0.000948377,0.000948377,0.000948377
46,633.08,0.49234,0.31738,0.82519,0.98892,0.98686,0.99091,0.88,0.46238,0.26834,0.80967,0.000946048,0.000946048,0.000946048
47,646.915,0.48899,0.31438,0.82404,0.98456,0.98757,0.99235,0.89405,0.42671,0.26091,0.80575,0.000943671,0.000943671,0.000943671
48,660.681,0.48084,0.30925,0.82134,0.98764,0.98536,0.99114,0.89773,0.4195,0.25844,0.80308,0.000941245,0.000941245,0.000941245
49,674.442,0.48308,0.30604,0.82132,0.99073,0.98748,0.99111,0.88909,0.43664,0.26063,0.80453,0.000938772,0.000938772,0.000938772
50,688.248,0.48382,0.30957,0.8186,0.98921,0.98596,0.99096,0.85315,0.55255,0.28649,0.8247,0.000936251,0.000936251,0.000936251
51,701.82,0.48292,0.30832,0.82036,0.98688,0.98892,0.99212,0.88194,0.46611,0.26723,0.8108,0.000933683,0.000933683,0.000933683
52,715.688,0.48271,0.30789,0.81988,0.98597,0.98957,0.99213,0.8977,0.42244,0.25659,0.80473,0.000931067,0.000931067,0.000931067
53,729.416,0.47576,0.30219,0.81865,0.98542,0.99298,0.993,0.90212,0.41589,0.25184,0.80223,0.000928405,0.000928405,0.000928405
54,743.156,0.4862,0.30668,0.82186,0.98733,0.98739,0.99221,0.90003,0.41284,0.25449,0.80278,0.000925697,0.000925697,0.000925697
55,756.967,0.48525,0.30398,0.81874,0.97929,0.99306,0.99174,0.89609,0.41955,0.25152,0.80509,0.000922942,0.000922942,0.000922942
56,770.679,0.47058,0.29884,0.81983,0.98647,0.98669,0.99268,0.89944,0.4111,0.24688,0.80487,0.000920142,0.000920142,0.000920142
57,784.377,0.47689,0.30202,0.8183,0.98558,0.99068,0.99208,0.89543,0.41607,0.24906,0.80456,0.000917296,0.000917296,0.000917296
58,798.14,0.47111,0.29667,0.81677,0.98629,0.98901,0.99256,0.89105,0.43981,0.25478,0.80614,0.000914405,0.000914405,0.000914405
59,811.903,0.46822,0.29699,0.81847,0.98891,0.99021,0.99246,0.90071,0.41025,0.2457,0.80054,0.000911469,0.000911469,0.000911469
60,825.649,0.47839,0.29883,0.82061,0.99096,0.98677,0.99223,0.89941,0.41223,0.25223,0.80136,0.000908488,0.000908488,0.000908488
61,839.137,0.47072,0.2972,0.8177,0.9864,0.98842,0.99165,0.88519,0.46287,0.25958,0.80923,0.000905463,0.000905463,0.000905463
62,852.909,0.46611,0.29439,0.81713,0.98581,0.99125,0.99213,0.90013,0.41106,0.24353,0.80214,0.000902395,0.000902395,0.000902395
63,866.73,0.46599,0.29554,0.81707,0.99318,0.98843,0.99194,0.88797,0.44801,0.24924,0.80996,0.000899282,0.000899282,0.000899282
64,880.599,0.46353,0.292,0.81589,0.98914,0.98754,0.99126,0.89919,0.41488,0.24524,0.80523,0.000896127,0.000896127,0.000896127
65,894.347,0.46668,0.29755,0.82098,0.99038,0.98774,0.99217,0.89554,0.43631,0.2461,0.80452,0.000892928,0.000892928,0.000892928
66,907.799,0.47568,0.29367,0.81853,0.99048,0.98506,0.9924,0.90052,0.40882,0.24124,0.80113,0.000889687,0.000889687,0.000889687
67,921.247,0.45633,0.28834,0.81513,0.98594,0.98664,0.99147,0.88731,0.46439,0.25296,0.80953,0.000886404,0.000886404,0.000886404
68,934.916,0.4563,0.28925,0.81613,0.99021,0.98587,0.99209,0.90202,0.4165,0.24174,0.80231,0.000883079,0.000883079,0.000883079
69,948.715,0.46204,0.28595,0.81664,0.98524,0.99013,0.99238,0.89904,0.4145,0.24102,0.80217,0.000879713,0.000879713,0.000879713
70,962.511,0.46513,0.28759,0.81462,0.9883,0.98532,0.9914,0.89881,0.41811,0.2439,0.80469,0.000876305,0.000876305,0.000876305
71,976.007,0.46291,0.28879,0.81534,0.99047,0.98803,0.99162,0.8947,0.43693,0.24407,0.8062,0.000872857,0.000872857,0.000872857
72,989.7,0.45148,0.28425,0.81511,0.99124,0.98576,0.99267,0.89721,0.41581,0.24131,0.80476,0.000869368,0.000869368,0.000869368
73,1003.27,0.46568,0.28776,0.81753,0.99092,0.98835,0.99183,0.90212,0.4058,0.2372,0.80324,0.000865839,0.000865839,0.000865839
74,1017.29,0.4605,0.28556,0.81572,0.98887,0.98978,0.99154,0.89636,0.42554,0.24133,0.80249,0.000862271,0.000862271,0.000862271
75,1031.09,0.45,0.28009,0.81546,0.98857,0.99089,0.99188,0.89606,0.43187,0.24083,0.80334,0.000858664,0.000858664,0.000858664
76,1044.94,0.45539,0.28543,0.8162,0.9907,0.99136,0.99251,0.90154,0.41307,0.23984,0.80003,0.000855018,0.000855018,0.000855018
77,1058.73,0.45095,0.2821,0.81555,0.9908,0.99026,0.99221,0.89448,0.42909,0.23807,0.80408,0.000851333,0.000851333,0.000851333
78,1072.46,0.45275,0.28415,0.81569,0.98798,0.99171,0.99228,0.89961,0.41359,0.24238,0.80524,0.000847611,0.000847611,0.000847611
