epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,35908.5,1.55569,0.83185,1.5097,0.90118,0.89282,0.91579,0.44389,1.75714,0.76955,1.55293,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,36303.8,1.55416,0.83494,1.50877,0.90089,0.89319,0.91612,0.44405,1.75683,0.76872,1.55271,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,36694.6,1.55333,0.82805,1.50351,0.90161,0.89384,0.91573,0.44412,1.75659,0.76801,1.55249,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,37087.5,1.54576,0.8238,1.49895,0.90072,0.89498,0.91583,0.4445,1.7559,0.76711,1.55197,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,37481.4,1.54118,0.81102,1.49862,0.90179,0.89437,0.91559,0.44398,1.7555,0.76619,1.55172,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,37876.2,1.53938,0.80898,1.49302,0.90161,0.89504,0.91621,0.44434,1.75521,0.76511,1.55139,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,38271.7,1.53747,0.80761,1.49418,0.90158,0.89531,0.91605,0.44418,1.7552,0.76485,1.55115,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,38669.1,1.53515,0.80084,1.49448,0.90191,0.89495,0.91571,0.44463,1.75512,0.76449,1.55102,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,39066.4,1.53533,0.80052,1.49281,0.90202,0.89561,0.91579,0.44493,1.75478,0.76406,1.5507,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,39400.6,1.59109,0.64103,1.6356,0.90175,0.89583,0.91591,0.44504,1.75467,0.76325,1.55066,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,39727.2,1.58636,0.63448,1.63485,0.90149,0.89582,0.91599,0.44503,1.75484,0.76282,1.55103,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,40037.6,1.58069,0.63119,1.62782,0.90225,0.89599,0.91621,0.44473,1.7547,0.7621,1.55112,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,40347.7,1.57734,0.62091,1.62696,0.90348,0.89534,0.9165,0.44484,1.7549,0.76106,1.5513,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,40658.7,1.57274,0.61845,1.62385,0.90347,0.89573,0.91653,0.44489,1.75482,0.76028,1.55145,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,40979.3,1.56963,0.60934,1.62108,0.90427,0.89592,0.91708,0.44488,1.75528,0.75963,1.552,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
