epoch,train_loss,val_loss,train_f1,val_f1
1,0.49081159664136836,0.11639734748491898,0.6789111343819983,0.9451868798101788
2,0.10684457432158884,0.08178377062831116,0.9481115185678246,0.9716263998498967
3,0.06982354076722584,0.05602881828424263,0.9641536166961842,0.9801426202502874
4,0.059689111496673795,0.07102202346216412,0.975468063272724,0.9657880700451915
5,0.052163636995704254,0.04463602969300487,0.9738366967109513,0.9820895020495688
6,0.04349424724641445,0.07819301363989692,0.9781096794950105,0.968040407977973
7,0.03641872651731058,0.048016627282069055,0.9872795890170536,0.98369149609721
8,0.03932096006211258,0.06713887055724736,0.9804312613477204,0.9806348131032134
9,0.033256657597410325,0.055148896413905885,0.9844929571296863,0.9856683202295532
10,0.033451861811941624,0.04702456234736479,0.9847232926176882,0.985527363119985
11,0.028183046787520556,0.035910368055474914,0.990195565845521,0.9847610691244669
12,0.027643222273154834,0.048830019812866124,0.9888177788445673,0.9864186361120375
13,0.026373460256377466,0.04861348345475425,0.9892816409967257,0.9846099198751266
14,0.02580086824696276,0.0705504237442229,0.9857442405449119,0.9747215054317349
15,0.023205390189988802,0.03984056946682578,0.991647466533236,0.9898271406977565
16,0.024807175844412156,0.05478355524456305,0.9910179348604161,0.9786122962243087
17,0.02204948595846246,0.050274612375578634,0.992686389188243,0.9817248255044793
18,0.015270914188870853,0.03431386887961257,0.9935812639446671,0.9883749876029743
19,0.013766914375697487,0.028382913079100996,0.995751272987539,0.9920050713608954
20,0.010657776558360496,0.034207798211214835,0.9959637491621425,0.9908395855204446
21,0.013955663908821686,0.04384214495922122,0.9952805530270319,0.9862924632297717
22,0.010100058974957199,0.046632895421874904,0.9966337452777577,0.9864779417883835
23,0.01146328378979696,0.040555171288818345,0.9947504341918264,0.9872566690333879
24,0.00983731419238621,0.053627186126338246,0.9953204249824886,0.98528058747367
25,0.00844205064727964,0.03553284014729423,0.9979797380762917,0.9892861009863285
26,0.00827183700455745,0.038777603215023444,0.9962190932872023,0.9897011920371476
27,0.00785050566385196,0.03802129792199057,0.9962867287387657,0.9867243725911475
28,0.009422773691161223,0.033564221015607396,0.9967726590559863,0.9905754216567751
29,0.009556938898748544,0.03141962870126579,0.9939820589015739,0.9879484246257292
30,0.006517655186915323,0.036311169626490315,0.9988261162640186,0.990274368577674
31,0.008065622486756737,0.038539118127598325,0.9969857654265706,0.9856780019758353
32,0.006604311727418066,0.0367040520671675,0.9981794599672426,0.9889805226608801
33,0.005125130242449791,0.03490004568818754,0.9972870518266178,0.9901958003376078
34,0.006241977475927231,0.0427976479216958,0.9980255928157675,0.987875029332115
35,0.00485531372582498,0.042085541326284184,0.9988308791513751,0.987334927061061
36,0.006028641595708434,0.030270429703379908,0.9965124848927889,0.9910096977727989
37,0.0042466682287232195,0.029237112839848707,0.9980313619074558,0.991027019434776
38,0.006020800576559753,0.03108527220305239,0.9962438004155587,0.9895299702050498
39,0.004002046513515426,0.031120494837541837,0.99809815892516,0.990512335508748
